,original_sents,sentences,weights
596,a taxi,taxi,0.0
94,bright clean and modern ideal,clean ideal,0.0
356,a lovely mug,mug,0.0
65,good care,care,0.0
63,the vegetarian calzone,calzone,0.0
574,an absolute steal,steal,0.0
399,an extra pair,pair,0.0
657,great way,way,0.0
658,the hot weather,weather,0.0
34,book,book,0.0
31,a small bite,bite,0.0
661,a warm welcome,welcome,0.0
662,a welcoming guy,welcoming guy,0.0
27,the background,background,0.0
26,congratulatory mass-eating award,award,0.0
665,the whole,whole,0.0
397,the owner/manger,owner/manger,0.0
24,the avocado bruschetta,avocado bruschetta,0.0
387,the otheri,otheri,0.0
11,- the best anti pasti,anti pasti,0.0
670,ice-cold wind.staff,wind.staff,0.0
671,delicious wine,wine,0.0
10,a huge amount,amount,0.0
7,afew,afew,0.0
674,the good work,work,0.0
675,an amazing wowcher offer,wowcher offer,0.0
4,a normal adult chair,adult chair,0.0
3,also delicious -i,-i,0.0
2,the only other 'feature,'feature,0.0
389,ourselves,ourselves,0.0
39,the bother,bother,0.0
654,sparkling water,water,0.0
629,great value,value,0.0
401,real pancetta,pancetta,0.0
372,the same number,number,0.0
631,great value lunch deal,value lunch deal,0.0
57,a fairly basic café,café,0.0
633,excellent value.fiddies,value.fiddies,0.0
634,value.owner,value.owner,0.0
375,a special offer,offer,0.0
376,olive oil,oil,0.0
52,",c00219805,linccloud02.win.louisiana.edu,02.11.2017 17:00,file:///home/linc",c00219805 file ///home/linc,0.0
47,the bruschetta,bruschetta,0.0
377,lovely olive oil!overall,oil overall,0.0
381,a gluten-free one,one,0.0
641,my second visit,visit,0.0
45,brilliant and very friendly service,brilliant service,0.0
406,one big party,party,0.0
644,this linguine vongole,vongole,0.0
645,a slight wait,wait,0.0
646,the excellent wait staff,wait staff,0.0
647,the waiter/owner,waiter/owner,0.0
383,the complete opposite,opposite,0.0
385,reverse alphabetical order,order,0.0
43,our short break,break,0.0
651,the warm and super friendly host,warm host,0.0
42,garlic bread,bread,0.0
575,the good full stomach,stomach,0.0
346,a small mistake,mistake,0.0
467,a big punch,punch,0.0
494,a very popular restaurant.we,restaurant.we,0.0
258,a half,half,0.0
497,this review,review,0.0
316,a special lunch offer,lunch offer,0.0
256,a nice guy,guy,0.0
255,our only guide,guide,0.0
251,a big group,group,0.0
502,a free round,round,0.0
503,a good 2 1/2 round trip,round trip,0.0
456,a high position,position,0.0
455,large portions.compliments,portions.compliments,0.0
506,sacre,sacre,0.0
247,first glance,glance,0.0
241,a lovely gavi,gavi,0.0
319,lunchtinemisses,lunchtinemisses,0.0
321,such a lovely man,man,0.0
511,more salt care,salt care,0.0
229,top form,form,0.0
226,the food.hot,food.hot,0.0
514,a lovely rich sauce,sauce,0.0
450,pollo primavera sauce,pollo primavera sauce,0.0
212,the flow,flow,0.0
517,great save,save,0.0
211,self-rising flour,flour,0.0
259,hampstead,hampstead,0.0
493,this restaurant.a wonderful welcome,restaurant.a welcome,0.0
130,the perfect date,date,0.0
262,this a regular haunt,haunt,0.0
468,great quality,quality,0.0
312,a clean look,look,0.0
313,a lot experience,lot experience,0.0
463,affordable prizes.we,prizes.we,0.0
472,good quality olive oil,quality oil,0.0
473,always same quality.see,quality.see,0.0
462,excellent prices. lovely service,prices. service,0.0
314,a lot more up west,lot west,0.0
304,my top 10 list,list,0.0
477,a wide range,range,0.0
478,the high ranking,ranking,0.0
460,the same price range,price range,0.0
298,a bright light,light,0.0
296,such a thin layer,layer,0.0
295,a good laugh,laugh,0.0
459,a reasonable price,price,0.0
315,a very quick lunch,lunch,0.0
285,a joke,joke,0.0
280,fresh ingridients,ingridients,0.0
277,the house white wine,house wine,0.0
275,the house,house,0.0
270,host,host,0.0
266,a mere hint,hint,0.0
449,its point,point,0.0
209,true flavour.they,flavour.they,0.0
205,mixed fish,fish,0.0
204,a great find,find,0.0
172,everything,everything,0.0
550,modern looking space,space,0.0
170,a sunday evening.very friendly atmosphere,evening.very,0.0
161,the higher end,end,0.0
445,the plate.mainslinguine vongole,plate.mainslinguine vongole,0.0
158,a quick eat,eat,0.0
155,a soft drink,drink,0.0
444,a plate,plate,0.0
149,this same dish,dish,0.0
148,a small discount,discount,0.0
325,a basic margherita,margherita,0.0
560,this tiny new spot,spot,0.0
442,a nice place,place,0.0
562,staff,staff,0.0
327,a higher mark,mark,0.0
564,stand-offishness,stand-offishness,0.0
565,standard fare,standard fare,0.0
138,a delight,delight,0.0
567,that standard.however,standard.however,0.0
342,pollo milanese-,milanese-,0.0
344,the last minute,minute,0.0
570,a great start,start,0.0
133,the special deal,deal,0.0
174,main dish excellent,excellent,0.0
176,the expense,expense,0.0
177,an experience,experience,0.0
533,the first sight,sight,0.0
523,a brilliant sense,sense,0.0
524,pleasant serivce,serivce,0.0
525,the service,service,0.0
526,great service and friendly staff,service staff,0.0
203,fiddies,fiddies,0.0
201,fiddie's another visit,fiddie visit,0.0
200,fiddie's service,fiddie service,0.0
323,manager/owner,manager/owner,0.0
531,a large shower group,shower group,0.0
195,booked fiddie,fiddie,0.0
534,always a good sign,sign,0.0
545,sober but cozy interior. extremely nice service,sober interior. service,0.0
535,a good sign).we,sign .we,0.0
536,simple décor,simple décor,0.0
390,the outside,outside,0.0
189,simple italian fare,fare,0.0
539,just the right size,size,0.0
540,a crusty slice,slice,0.0
541,huge smile,smile,0.0
324,the manager/owner name,manager/owner name,0.0
180,fab house,fab house,0.0
179,fab,fab,0.0
340,a charming message,message,0.0
